Town,County,Town_County,Fed_Money,Total_Rev,State_Money,Fed_Decimal,Fed_Percent,State_Decimal,State_Percent,FS_Combo,FS_Combo_Decimal,FS_Combo_Percent,Population,F_Mon_PC,S_Mon_PC,All_Tax_Rev,Taxes_PC,Real_Estat,Real_Taxes_PC
bentleyville boro,washington,bentleyville boro washington,3127.75,1196228.75,276441.38,0.002614675495802956,0.26,0.231094077951228,23.11,279569.13,0.2337087534470309,23.37,2581,1.2118364974815965,107.1063076327005,568999.75,220.45709027508718,336277.25,130.28951956605965
benton boro,columbia,benton boro columbia,0.0,387197.5,45666.75,0.0,0.0,0.11794174807430315,11.79,45666.75,0.11794174807430315,11.79,824,0.0,55.42081310679613,252112.375,305.96162014563106,178660.75,216.82129854368932
benton twp,columbia,benton twp columbia,0.0,515414.38,204927.5,0.0,0.0,0.3975975602388121,39.76,204927.5,0.3975975602388121,39.76,1245,0.0,164.6004016064257,263106.625,211.33062248995984,121907.0,97.91726907630522
benton twp,lackawanna,benton twp lackawanna,44789.38,626813.38,150548.25,0.07145568590128053,7.15,0.2401803388434369,24.02,195337.63,0.3116360247447175,31.16,1908,23.474517819706502,78.90369496855345,346075.0,181.38102725366878,141871.375,74.35606656184487
berlin boro,somerset,berlin boro somerset,29752.38,4906636.38,126871.0,0.006063701830703014,0.61,0.025857021016910973,2.59,156623.38,0.031920722847613985,3.19,2104,14.14086501901141,60.29990494296578,199776.25,94.9506891634981,29842.125,14.183519486692015
berlin twp,wayne,berlin twp wayne,0.0,600926.75,160287.12,0.0,0.0,0.2667332083319639,26.67,160287.12,0.2667332083319639,26.67,2578,0.0,62.174988363072146,322049.125,124.92208107059736,285717.375,110.82908262218774
bern twp,berks,bern twp berks,0.0,3732570.5,458374.0,0.0,0.0,0.12280384255300734,12.28,458374.0,0.12280384255300734,12.28,6797,0.0,67.43769309989702,2532428.0,372.580255995292,1299209.25,191.14451228483153
bernville boro,berks,bernville boro berks,0.0,1061134.25,41422.12,0.0,0.0,0.039035701656034566,3.9,41422.12,0.039035701656034566,3.9,955,0.0,43.373947643979065,254095.875,266.0689790575916,135204.25,141.57513089005235
berrysburg boro,dauphin,berrysburg boro dauphin,0.0,97962.38,23812.75,0.0,0.0,0.2430805580672908,24.31,23812.75,0.2430805580672908,24.31,368,0.0,64.7085597826087,36055.875,97.97792119565217,5207.5,14.150815217391305
berwick boro,columbia,berwick boro columbia,161269.75,4667808.0,527562.0,0.03454935378661676,3.45,0.11302135820496473,11.3,688831.75,0.14757071199158148,14.760000000000002,10477,15.39274124272215,50.354299895008104,2966780.125,283.1707669180109,1791592.125,171.00239811014603
